latent_dim,modality,orig_index,class_idx,class_name,PC1,PC2,PC3
128,PROT,833,10,macrophage,0.3841213,0.17380953,-0.06950307
128,PROT,834,12,monocyte,0.760316,-0.42903298,0.15020426
128,PROT,835,12,monocyte,0.7521932,-0.4599771,0.12381211
128,PROT,836,12,monocyte,0.7463553,-0.46074298,0.11375277
128,PROT,837,12,monocyte,0.7597292,-0.43361643,0.14981541
128,PROT,838,10,macrophage,0.38014883,0.1776574,-0.03885336
128,PROT,839,12,monocyte,0.83965576,-0.5141456,0.17231297
128,PROT,840,10,macrophage,0.39199823,0.18531984,-0.036116574
128,PROT,841,12,monocyte,0.7478302,-0.4599505,0.11655475
128,PROT,842,12,monocyte,0.7532272,-0.43639123,0.1279117
128,PROT,843,12,monocyte,0.7586653,-0.4363873,0.13710313
128,PROT,844,12,monocyte,0.8315755,-0.5460997,0.16178471
128,PROT,845,12,monocyte,0.7582251,-0.44608912,0.14460431
128,PROT,846,12,monocyte,0.77640426,-0.41637734,0.13245682
128,PROT,847,10,macrophage,0.3805439,0.18173736,-0.048582207
128,PROT,848,12,monocyte,0.76057374,-0.44523364,0.14264901
128,PROT,849,12,monocyte,0.7517841,-0.4602964,0.11273949
128,PROT,850,12,monocyte,0.75890934,-0.45372158,0.120816916
128,PROT,851,12,monocyte,0.85297275,-0.51434374,0.15778424
128,PROT,852,10,macrophage,0.43825158,0.14576429,-0.06974028
128,PROT,853,12,monocyte,0.8339589,-0.5398864,0.15150416
128,PROT,854,12,monocyte,0.76140165,-0.45598263,0.1281956
128,PROT,855,12,monocyte,0.74730676,-0.44404936,0.14032577
128,PROT,856,10,macrophage,0.37341166,0.1612494,-0.032044392
128,PROT,857,12,monocyte,0.7539612,-0.4506734,0.13883355
128,PROT,858,12,monocyte,0.7626418,-0.42418352,0.14837384
128,PROT,859,12,monocyte,0.75019395,-0.4477242,0.12268053
128,PROT,860,12,monocyte,0.75347805,-0.449085,0.1349189
128,PROT,861,10,macrophage,0.3885224,0.18445688,-0.05283979
128,PROT,862,12,monocyte,0.751363,-0.44885242,0.1384282
128,PROT,863,12,monocyte,0.75119567,-0.44839475,0.11906032
128,PROT,864,10,macrophage,0.31032428,0.28027618,-0.08538933
128,PROT,865,12,monocyte,0.7493995,-0.44537157,0.13695924
128,PROT,866,12,monocyte,0.76057893,-0.44728926,0.13144307
128,PROT,867,12,monocyte,0.7499725,-0.44820207,0.14695409
128,PROT,868,12,monocyte,0.75882876,-0.45974997,0.11666328
128,PROT,869,12,monocyte,0.7622794,-0.4505673,0.13484895
128,PROT,870,10,macrophage,0.38118282,0.1662367,-0.051463496
128,PROT,871,12,monocyte,0.83757323,-0.53130996,0.15097688
128,PROT,872,12,monocyte,0.75901926,-0.443916,0.12943757
128,PROT,873,12,monocyte,0.74767053,-0.43551692,0.15567695
128,PROT,874,10,macrophage,0.30114818,0.29331622,-0.07561238
128,PROT,875,10,macrophage,0.404845,0.18578184,-0.03721931
128,PROT,876,10,macrophage,0.34811318,0.23094985,-0.07303208
128,PROT,877,10,macrophage,0.41516358,0.2175895,-0.054240417
128,PROT,878,10,macrophage,0.36842853,0.15167412,-0.06140789
128,PROT,879,12,monocyte,0.81276226,-0.567429,0.15740405
128,PROT,880,12,monocyte,0.7469207,-0.4374843,0.118809
128,PROT,881,12,monocyte,0.76039505,-0.43582168,0.1334403
128,PROT,882,12,monocyte,0.7560749,-0.4417373,0.14974524
128,PROT,883,12,monocyte,0.81026244,-0.47280672,0.10125524
128,PROT,884,12,monocyte,0.7715025,-0.42638403,0.14079612
128,PROT,885,12,monocyte,0.77069414,-0.43476844,0.13009818
128,PROT,886,12,monocyte,0.755688,-0.45349792,0.14314477
128,PROT,887,12,monocyte,0.82876384,-0.50977683,0.16529386
128,PROT,888,12,monocyte,0.7510427,-0.4291069,0.14053346
128,PROT,889,12,monocyte,0.757957,-0.4627587,0.12307252
128,PROT,890,12,monocyte,0.74700713,-0.45951018,0.12884128
128,PROT,891,12,monocyte,0.8191758,-0.54010767,0.15008187
128,PROT,892,12,monocyte,0.8486656,-0.53275347,0.16918544
128,PROT,893,12,monocyte,0.75279206,-0.4340705,0.13724639
128,PROT,894,12,monocyte,0.7588512,-0.44229144,0.11797476
128,PROT,895,12,monocyte,0.75570846,-0.45031038,0.11052996
128,PROT,896,10,macrophage,0.35532138,0.23292601,-0.061335634
128,PROT,897,12,monocyte,0.7434596,-0.47727525,0.12644975
128,PROT,898,10,macrophage,0.3948244,0.16065308,-0.05802911
128,PROT,899,12,monocyte,0.77206874,-0.43156368,0.13119927
128,PROT,900,12,monocyte,0.8213449,-0.46473825,0.1447725
128,PROT,901,10,macrophage,0.45591003,0.13210958,-0.054810833
128,PROT,902,10,macrophage,0.35415122,0.21786931,-0.061540935
128,PROT,903,12,monocyte,0.75212157,-0.4493841,0.13577381
128,PROT,904,12,monocyte,0.81798255,-0.51345146,0.15535949
128,PROT,905,12,monocyte,0.762452,-0.43596596,0.13872427
128,PROT,906,12,monocyte,0.7615502,-0.4273287,0.14531215
128,PROT,907,12,monocyte,0.7497252,-0.43875775,0.13398369
128,PROT,908,12,monocyte,0.7528571,-0.44500312,0.12523086
128,PROT,909,12,monocyte,0.83440566,-0.5508975,0.16636302
128,PROT,910,12,monocyte,0.76576304,-0.4198728,0.14405313
128,PROT,911,12,monocyte,0.8268583,-0.5055116,0.15094934
128,PROT,912,12,monocyte,0.8506808,-0.5339448,0.15524042
128,PROT,913,12,monocyte,0.7558569,-0.4304179,0.1373163
128,PROT,914,12,monocyte,0.8226105,-0.48330832,0.14915732
